I. M. Koltsov,MIREA - Russian Technological University,RU,"Advanced Measurement and Detection Methods
Geometric and Algebraic Topology
Advanced Graph Theory Research","CayleyPy RL: Pathfinding and reinforcement learning on Cayley graphs (0 citations)
CayleyPy Growth: Efficient growth computations and hundreds of new conjectures on Cayley graphs (Brief version) (0 citations)
A Machine Learning Approach That Beats Large Rubik's Cubes (0 citations)"
K. A. Khoruzhii,Zuse Institute Berlin,DE,"Cold Atom Physics and Bose-Einstein Condensates
Atomic and Subatomic Physics Research
Quantum, superfluid, helium dynamics","Losses of thulium atoms from optical dipole traps operating at 532 and 1064 nm (8 citations)
Bose-Einstein condensate as a diagnostic tool for an optical lattice formed by 1064-nm laser light (4 citations)
Inspiration from machine learning on the example of optimization of the Bose-Einstein condensate of thulium atoms in a 1064-nm trap (3 citations)"
L. A. Grunwald,Sobolev Institute of Mathematics,RU,"Advanced Combinatorial Mathematics
Graph theory and applications
Topological and Geometric Data Analysis","The number of rooted forests in circulant graphs (12 citations)
Counting rooted spanning forests in cobordism of two circulant graphs (4 citations)
On the Jacobian group of a cone over a circulant graph (3 citations)"
L. Cheldieva,,,"Advanced Graph Neural Networks
Machine Learning in Materials Science
Computational Physics and Python Applications",CayleyPy-4: AI-Holography. Towards analogs of holographic string dualities for AI tasks (0 citations)
L. Shishina,Nizhny Novgorod Research Institute of Traumatology and Orthopedics,RU,"Geometric and Algebraic Topology
Advanced Graph Theory Research
Complexity and Algorithms in Graphs","CayleyPy RL: Pathfinding and reinforcement learning on Cayley graphs (0 citations)
CayleyPy Growth: Efficient growth computations and hundreds of new conjectures on Cayley graphs (Brief version) (0 citations)"
Lilia Grunwald,Sobolev Institute of Mathematics,RU,"Complexity and Algorithms in Graphs
Advanced Graph Neural Networks
Topological and Geometric Data Analysis",CayleyPy RL: Pathfinding and reinforcement learning on Cayley graphs (0 citations)
Mikhail M. Evseev,Samara National Research University,RU,"Advanced Chemical Physics Studies
Astrophysics and Star Formation Studies
Synthesis and Properties of Aromatic Compounds","Low-temperature formation of polycyclic aromatic hydrocarbons in Titan’s atmosphere (109 citations)
Gas phase synthesis of [4]-helicene (42 citations)
A Free‐Radical Prompted Barrierless Gas‐Phase Synthesis of Pentacene (25 citations)"
Mark Obozov,Innopolis University,RU,"Traffic control and management
Transportation Planning and Optimization
Logic, programming, and type systems","CayleyPy RL: Pathfinding and reinforcement learning on Cayley graphs (0 citations)
CayleyPy Growth: Efficient growth computations and hundreds of new conjectures on Cayley graphs (Brief version) (0 citations)
A Machine Learning Approach That Beats Large Rubik's Cubes (0 citations)"
Michael Litvinov,,,"Finite Group Theory Research
Geometric and Algebraic Topology
Advanced Graph Theory Research","Serum Prevalence of Bears in the Russian Far East to Different Pathogens (39 citations)
The Closure Ordering of Nilpotent Orbits of the Complex Symmetric Pair (SOp+q, SOp × SOq) (4 citations)
CayleyPy Growth: Efficient growth computations and hundreds of new conjectures on Cayley graphs (Brief version) (0 citations)"
N. Vilkin-Krom,,,"Geometric and Algebraic Topology
Advanced Graph Theory Research
Finite Group Theory Research",CayleyPy Growth: Efficient growth computations and hundreds of new conjectures on Cayley graphs (Brief version) (0 citations)
Nanrynbaev Nursultan,International University of Kyrgyzstan,KG,"Complexity and Algorithms in Graphs
Advanced Graph Neural Networks
Topological and Geometric Data Analysis",CayleyPy RL: Pathfinding and reinforcement learning on Cayley graphs (0 citations)
Nikita Rokotyan,Sunesis (United States),US,"Atmospheric and Environmental Gas Dynamics
Atmospheric Ozone and Climate
Spectroscopy and Laser Applications","A posteriori calculation of δ 18 O and δD in atmospheric water vapour from ground-based near-infrared FTIR retrievals of H 2 16 O, H 2 18 O, and HD 16 O (27 citations)
Developing a western Siberia reference site for tropospheric water vapour isotopologue observations obtained by different techniques (in situ and remote sensing) (22 citations)
Estimation of the impact of differences in the CH4 absorption line parameters on the accuracy of methane atmospheric total column retrievals from ground-based FTIR spectra (18 citations)"
